epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,2253.69,0.56526,0.26527,0.00441,0.94551,0.97889,0.99059,0.86027,0.56874,0.22442,0.0064,0.000376625,0.000376625,0.000376625
129,2271.94,0.56535,0.2652,0.00472,0.97047,0.97073,0.99101,0.8584,0.55587,0.21171,0.0063,0.000367799,0.000367799,0.000367799
130,2288.46,0.57198,0.27806,0.00455,0.97913,0.97413,0.99234,0.86752,0.55652,0.20295,0.00628,0.000359038,0.000359038,0.000359038
131,2306.31,0.57277,0.26721,0.00462,0.97202,0.97531,0.99167,0.86233,0.55451,0.20766,0.0063,0.000350343,0.000350343,0.000350343
132,2323.05,0.54872,0.25483,0.00441,0.97299,0.9838,0.9929,0.86639,0.56037,0.20329,0.0063,0.000341718,0.000341718,0.000341718
133,2341.54,0.55431,0.25788,0.00445,0.96688,0.98911,0.98921,0.85865,0.55255,0.21522,0.00629,0.000333165,0.000333165,0.000333165
134,2359.78,0.5488,0.25866,0.00441,0.95556,0.9694,0.98918,0.86394,0.55535,0.22866,0.00625,0.000324685,0.000324685,0.000324685
135,2378.28,0.54282,0.25207,0.00444,0.97533,0.97252,0.99027,0.86244,0.54178,0.21658,0.00612,0.000316281,0.000316281,0.000316281
136,2394.94,0.55077,0.25029,0.00434,0.94123,0.98523,0.99075,0.86322,0.55566,0.22355,0.00631,0.000307954,0.000307954,0.000307954
137,2412.17,0.55758,0.2581,0.00451,0.96169,0.97731,0.99245,0.86393,0.54909,0.20402,0.00618,0.000299707,0.000299707,0.000299707
138,2430.42,0.53344,0.24156,0.00429,0.96148,0.98077,0.99166,0.87038,0.54502,0.20223,0.00612,0.000291542,0.000291542,0.000291542
139,2448.06,0.54743,0.2668,0.00445,0.97127,0.9795,0.9908,0.86569,0.54822,0.20404,0.00614,0.000283461,0.000283461,0.000283461
140,2466.21,0.54092,0.25271,0.00443,0.96407,0.97929,0.99058,0.86485,0.55016,0.21291,0.00625,0.000275466,0.000275466,0.000275466
141,2483.75,0.54769,0.26716,0.00433,0.95611,0.98688,0.9903,0.86028,0.54806,0.2183,0.00624,0.000267558,0.000267558,0.000267558
142,2499.69,0.54097,0.24744,0.00452,0.95548,0.98009,0.99077,0.86908,0.54265,0.21713,0.0061,0.00025974,0.00025974,0.00025974
143,2516.54,0.54592,0.25617,0.00446,0.95191,0.97307,0.98927,0.86828,0.53498,0.2342,0.006,0.000252014,0.000252014,0.000252014
144,2532.95,0.52985,0.2305,0.0043,0.94711,0.96958,0.98921,0.87055,0.53507,0.23085,0.00604,0.000244381,0.000244381,0.000244381
145,2549.22,0.54872,0.24707,0.00434,0.96892,0.97821,0.99145,0.86857,0.53975,0.2095,0.00606,0.000236844,0.000236844,0.000236844
146,2566.45,0.53074,0.2436,0.00411,0.96516,0.98269,0.99172,0.87133,0.5387,0.20973,0.00605,0.000229404,0.000229404,0.000229404
147,2584.29,0.52615,0.23873,0.00431,0.96527,0.98269,0.99099,0.87136,0.53349,0.2075,0.006,0.000222063,0.000222063,0.000222063
148,2602.53,0.52279,0.2328,0.00422,0.96793,0.98219,0.99036,0.87262,0.53226,0.20769,0.00599,0.000214824,0.000214824,0.000214824
149,2619.75,0.52025,0.23948,0.00413,0.9572,0.9847,0.99172,0.86969,0.54107,0.20777,0.00607,0.000207686,0.000207686,0.000207686
150,2637.14,0.5247,0.23957,0.00421,0.97235,0.97345,0.99201,0.86995,0.54141,0.20479,0.00611,0.000200654,0.000200654,0.000200654
151,2653.69,0.52316,0.2363,0.00416,0.95876,0.98875,0.9903,0.86319,0.54176,0.21185,0.00613,0.000193728,0.000193728,0.000193728
152,2670.63,0.51637,0.23704,0.00423,0.94706,0.97694,0.99033,0.86592,0.54888,0.21419,0.00624,0.000186909,0.000186909,0.000186909
153,2687.65,0.52239,0.23727,0.00423,0.94882,0.98659,0.99058,0.87331,0.5414,0.21141,0.0061,0.000180201,0.000180201,0.000180201
154,2705.66,0.52006,0.24598,0.00418,0.95494,0.98411,0.99148,0.87308,0.5353,0.20415,0.00602,0.000173603,0.000173603,0.000173603
155,2722.57,0.5212,0.22984,0.00418,0.95207,0.98689,0.98981,0.86641,0.54612,0.21204,0.00617,0.000167119,0.000167119,0.000167119
156,2740.26,0.51741,0.23776,0.00412,0.9605,0.97959,0.98995,0.86607,0.54581,0.20927,0.0062,0.000160749,0.000160749,0.000160749
157,2757.63,0.51861,0.22858,0.00406,0.96502,0.98026,0.99174,0.87099,0.53743,0.19866,0.00604,0.000154495,0.000154495,0.000154495
158,2774.96,0.52317,0.23715,0.00421,0.95917,0.98166,0.98858,0.86996,0.53749,0.21127,0.0061,0.000148359,0.000148359,0.000148359
159,2793.44,0.50534,0.23355,0.00421,0.9578,0.98689,0.99203,0.87081,0.54126,0.19846,0.00612,0.000142342,0.000142342,0.000142342
160,2810.78,0.51559,0.23274,0.0041,0.9607,0.97162,0.99117,0.86947,0.53704,0.20896,0.00606,0.000136445,0.000136445,0.000136445
161,2827.02,0.51213,0.23369,0.00427,0.95109,0.99012,0.99209,0.87408,0.53978,0.20706,0.0061,0.000130671,0.000130671,0.000130671
162,2844.19,0.51774,0.23277,0.00424,0.9663,0.96751,0.99166,0.86923,0.54144,0.20957,0.00608,0.00012502,0.00012502,0.00012502
163,2860.98,0.50281,0.23952,0.00394,0.93401,0.98513,0.99011,0.8717,0.54199,0.21689,0.0061,0.000119494,0.000119494,0.000119494
164,2878.02,0.52089,0.2496,0.00402,0.96138,0.96566,0.99104,0.86656,0.54512,0.21808,0.00617,0.000114094,0.000114094,0.000114094
165,2894.15,0.51993,0.22876,0.00407,0.95299,0.98137,0.9904,0.86955,0.54445,0.2157,0.00615,0.000108822,0.000108822,0.000108822
166,2909.5,0.50514,0.23726,0.00399,0.96177,0.98094,0.9902,0.87055,0.5399,0.21005,0.00609,0.000103679,0.000103679,0.000103679
167,2927.65,0.51128,0.23753,0.00397,0.96084,0.97844,0.99122,0.86928,0.54513,0.20016,0.00614,9.86659e-05,9.86659e-05,9.86659e-05
168,2948.17,0.48994,0.22902,0.00397,0.97589,0.96206,0.99152,0.86738,0.54306,0.21134,0.00614,9.37843e-05,9.37843e-05,9.37843e-05
169,2973.18,0.50577,0.23449,0.00395,0.97107,0.96803,0.99049,0.86652,0.54324,0.21376,0.00616,8.90352e-05,8.90352e-05,8.90352e-05
170,2991.66,0.51092,0.23415,0.00403,0.97053,0.97319,0.99025,0.8655,0.54352,0.20522,0.00613,8.442e-05,8.442e-05,8.442e-05
171,3009.27,0.50316,0.22931,0.00401,0.96302,0.97472,0.99036,0.86747,0.54207,0.2054,0.00611,7.99397e-05,7.99397e-05,7.99397e-05
172,3024.75,0.49098,0.22963,0.00396,0.96913,0.97326,0.99072,0.86717,0.54144,0.20346,0.00609,7.55954e-05,7.55954e-05,7.55954e-05
173,3040.57,0.49425,0.22281,0.00393,0.9753,0.9665,0.99019,0.86546,0.54247,0.20714,0.00612,7.13883e-05,7.13883e-05,7.13883e-05
174,3061.96,0.51242,0.23138,0.00405,0.96874,0.97082,0.99014,0.86676,0.54082,0.20753,0.00607,6.73192e-05,6.73192e-05,6.73192e-05
175,3077.95,0.49414,0.23163,0.00391,0.96138,0.97503,0.99042,0.86605,0.54056,0.20896,0.00607,6.33893e-05,6.33893e-05,6.33893e-05
176,3092.56,0.49158,0.22659,0.00379,0.97135,0.96525,0.98982,0.8654,0.5381,0.2165,0.00604,5.95995e-05,5.95995e-05,5.95995e-05
177,3107.46,0.4931,0.22997,0.00384,0.95854,0.96263,0.98828,0.86319,0.53913,0.22612,0.00606,5.59508e-05,5.59508e-05,5.59508e-05
178,3121.72,0.4953,0.22525,0.00383,0.96242,0.95932,0.98834,0.8655,0.54052,0.22722,0.0061,5.2444e-05,5.2444e-05,5.2444e-05
